Latitude,Longitude
39.9198659,32.9372260
39.9193774,32.9378961
39.9191804,32.9381936
39.9191237,32.9382856
39.9190208,32.9384782
39.9188832,32.9387258
39.9188114,32.9388592
39.9187470,32.9389791
39.9185676,32.9393450
39.9185018,32.9394900
39.9184479,32.9396120
39.9183938,32.9397341
39.9183898,32.9397457
39.9182395,32.9401312
39.9181543,32.9403645
39.9181508,32.9403743
39.9180227,32.9408011
39.9179963,32.9408892
39.9179060,32.9412422
39.9177066,32.9421460
39.9176570,32.9423712
39.9175336,32.9429307
39.9175037,32.9430993
39.9174715,32.9432643
39.9174393,32.9434292
39.9173098,32.9441124
39.9171804,32.9447954
39.9171197,32.9451152
39.9169733,32.9458778
39.9168882,32.9462897
39.9168359,32.9466548
39.9167924,32.9469718
39.9167675,32.9472413
39.9167586,32.9473295
39.9167355,32.9478187
39.9167317,32.9483570
39.9167526,32.9489019
39.9167802,32.9493054
39.9168322,32.9497585
39.9168650,32.9502127
39.9168725,32.9503181
39.9168936,32.9507110
39.9169113,32.9510743
39.9169161,32.9513245
39.9168894,32.9520700
39.9168349,32.9525571
39.9167640,32.9530847
39.9166917,32.9535013
39.9166241,32.9538308
39.9166128,32.9538860
39.9164732,32.9543345
39.9164316,32.9544387
39.9163534,32.9546677
39.9162832,32.9548596
39.9162674,32.9548990
39.9162542,32.9549352
39.9161337,32.9552600
39.9159286,32.9556800
39.9158934,32.9557449
39.9157895,32.9559364
39.9156401,32.9562116
39.9152818,32.9568576
39.9152186,32.9569781
39.9151951,32.9570250
39.9151855,32.9570410
39.9150577,32.9572888
39.9148402,32.9577612
39.9148081,32.9578393
39.9146867,32.9581350
39.9145685,32.9584668
39.9143044,32.9592038
39.9142319,32.9593959
39.9141802,32.9595049
39.9140674,32.9597722
39.9140306,32.9598674
39.9139472,32.9600779
39.9138408,32.9603693
39.9137701,32.9605800
39.9137390,32.9607234
39.9137310,32.9607557
39.9137294,32.9607630
39.9137218,32.9608121
39.9136904,32.9609748
39.9136602,32.9611921
39.9136228,32.9615033
39.9136125,32.9615877
39.9135839,32.9618902
39.9135794,32.9619686
39.9135691,32.9621455
39.9135578,32.9624151
39.9134882,32.9640486
